"","PWSID","VIOLATION_CATEGORY_CODE","VIOLATION_STATUS","diff_days","total_violations"
"21217","MO1010261","MCL","Resolved",91,8
"21218","MO5048214","TT","Resolved",190,3
"21219","MO5242384","TT","Resolved",2548,4
"21220","MO5292802","MCL","Resolved",30,4
"21221","MO6190795","MCL","Resolved",30,4
"21222","MT0001274","TT","Resolved",2377,3
"21223","MT0004081","TT","Resolved",1922,16
"21224","NC0156107","TT","Resolved",3019,23
"21225","NC0157015","MCL","Archived",91,8
"21226","NC0180197","MCL","Resolved",29,7
"21227","ND0510106","MCL","Resolved",91,4
"21228","NE3114902","MCL","Resolved",29,4
"21229","NE3120111","MCL","Resolved",364,3
"21230","NE3150244","TT","Resolved",1893,3
"21231","NH0155020","TT","Resolved",1740,2
"21232","NH2542200","MCL","Resolved",91,4
"21233","NJ0336313","TT","Resolved",2274,9
"21234","NJ0602302","TT","Resolved",183,4
"21235","NJ1008305","TT","Resolved",2160,3
"21236","NJ1332340","MCL","Resolved",27,3
"21237","NJ1351326","TT","Resolved",2520,11
"21238","NJ1427302","TT","Resolved",2044,5
"21239","NJ1713301","TT","Resolved",2279,9
"21240","NM3533223","TT","Resolved",30,4
"21241","NN3534016","MCL","Resolved",30,1
"21242","NN4900227","TT","Resolved",2227,3
"21243","NV0002222","TT","Resolved",2509,31
"21244","NY0311227","MCL","Resolved",30,3
"21245","NY0804457","MCL","Resolved",30,4
"21246","NY1330072","MCL","Resolved",30,2
"21247","NY3503553","MCL","Resolved",30,3
"21248","NY3503566","TT","Resolved",2671,4
"21249","NY5130205","MCL","Resolved",29,3
"21250","NY6050016","MCL","Resolved",30,5
"21251","OH1945212","MCL","Archived",91,3
"21252","OH5432512","MCL","Resolved",91,4
"21253","OH5439712","TT","Resolved",2270,4
"21254","OH6702812","TT","Archived",183,3
