pwsid,total_samples,detection_share,concentration_avg,concentration_max,pfas_count
AL0000423,1,1,7.099999904632568,7.099999904632568,1
AL0000424,1,1,6.300000190734863,6.300000190734863,1
AL0000425,1,1,3.900000095367432,3.900000095367432,1
AL0000426,1,1,9.5,9.5,1
AL0000427,1,1,7.5,7.5,1
AL0000428,1,1,8.899999618530273,8.899999618530273,1
AL0000429,1,1,7.699999809265137,7.699999809265137,1
AL0000430,1,1,4.900000095367432,4.900000095367432,1
AL0000441,24,0,0,0,0
AL0000463,41,0,0,0,0
AL0000490,12,0,0,0,0
AL0000491,58,0,0,0,0
AL0000500,70,0,0,0,0
AL0000502,4,1,15.79999995231628,25.59999990463257,2
AL0000509,53,0,0,0,0
AL0000533,118,.033898305,4.379999995231628,11.80000019073486,2
AL0000535,169,0,0,0,0
AL0000537,116,.0086206896,1.125,4.5,1
AL0000540,109,.19266056,135.8333344459534,144.5000004768372,7
AL0000547,141,.0070921984,.2000000029802322,1.799999952316284,1
AL0000549,36,.33333334,31.92618989944458,97,5
AL0000553,135,.06666667,9.396666824817657,44.29999995231628,4
AL0000555,170,0,0,0,0
AL0000561,4,0,0,0,0
AL0000570,58,0,0,0,0
